set,tier,name,traits,apiName,desc
0,1-Silver,Augmented Power,,TFT_Augment_PowerUp,Your next augment is one tier higher.
0,1-Silver,Backup,,TFT_Augment_Backup,Your team gains 11% Attack Speed if at least 4 allies start combat in the back two rows.
0,1-Silver,Backup Bows,,TFT_Augment_ComponentQuestBow,"Gain a Recurve Bow. After your team attacks 1000 times, gain 2 more. Attacks: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Backup Bows,,TFT_Augment_ComponentQuestBow_PAIRS,"Gain a Recurve Bow. After your team attacks 1200 times, gain 2 more. Attacks: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Beggars Can Be Choosers,,TFT_Augment_BeggarsCanBeChoosers,You get +3 Augment rerolls for all other augment choices. Gain 7 gold.
0,1-Silver,Blacksmith Training,,TFT_Augment_BlacksmithTraining,"Whenever you build an item, gain a completed item anvil instead. That anvil always offers the item built + 2 other options. Gain a random component."
0,1-Silver,Boxing Lessons,,TFT_Augment_BoxingLessons,Your team gains 30 Health for each ally that starts combat in the front row.
0,1-Silver,Branching Out,,TFT_Augment_BranchingOut,Gain a random Emblem.
0,1-Silver,Branching Out+,,TFT_Augment_BranchingOutPlus,Gain a random Emblem and a Reforger. Reforgers allow you to remake any item.
0,1-Silver,Bulking Up I,,TFT_Augment_BulkingUp1,"Your team gains 35 Health. After each round, they gain 8 more. (Current Health: [TFTUnitProperty.item:TFT_BulkingUp1Rounds])"
0,1-Silver,Bulky Buddies I,,TFT_Augment_BulkyBuddies1,"Allies that start combat next to exactly 1 other ally gain 100 Health. When that champion dies, the other gains a 10% max Health Shield for 10 seconds."
0,1-Silver,Bulwark,,TFTTutorial_Augment_FrontRowHealth1,Combat start: Your champions in the front 2 rows gain 100 Health.
0,1-Silver,Called Shot,,TFT_Augment_CalledShot,Set your win streak to 4. Gain 4 gold.
0,1-Silver,Carve a Path,,TFT_Augment_ComponentQuestSword_PAIRS,"Gain a B.F. Sword. After your team deals 82000 physical damage, gain 2 more. Damage dealt: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Carve a Path,,TFT_Augment_ComponentQuestSword,"Gain a B.F. Sword. After your team deals 65000 physical damage, gain 2 more. Damage dealt: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Chaotic Evolution,,TFT_Augment_ChaosEvolution,"Starring up a champion grants them one of the following: 100 Health, 5% Durability, 10% Ability Power, 10% Attack Damage, 10% Attack Speed. Bonuses stack."
0,1-Silver,Charge Transfer I,,TFT_Augment_ChargeTransfer1,Your team gains 7% Damage Amp. 50% of overkill damage is dealt to the nearest enemy as magic damage.
0,1-Silver,Climb The Ladder I,,TFT_Augment_ClimbTheLadder1,"Each time an ally dies, allies that share at least one trait with them gain 3.5% Ability Power, 3.5% Attack Damage, 3.5 Armor, and 3.5 Magic Resist."
0,1-Silver,Cognitive Tax,,TFT_Augment_CognitiveTax,Gain 8 gold and 1 XP.
0,1-Silver,Cognitive Tax+,,TFT_Augment_CognitiveTaxPlus,Gain 12 gold and 3 XP.
0,1-Silver,Combat Bandages I,,TFT_Augment_DawnbringersBlessing1,"The first time each ally unit falls below 60.0% health, they restore 100-[flathealing3] health (based on stage) over 2.5 seconds."
0,1-Silver,Continuous Conjuration,,TFT_Augment_ComponentQuestRod,"Gain a Needlessly Large Rod. After your team deals 42000 magic damage, gain 2 more. Damage dealt: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Continuous Conjuration,,TFT_Augment_ComponentQuestRod_PAIRS,"Gain a Needlessly Large Rod. After your team deals 45000 magic damage, gain 2 more. Damage dealt: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Corrosion,,TFT_Augment_Corrosion,Enemies in the first two rows lose 4 Armor and Magic Resist every 2 seconds.
0,1-Silver,Crafted Crafting,,TFT_Augment_CraftedCrafting,"Whenever you craft a completed item, gain 2 rerolls."
0,1-Silver,Critical Success,,TFT_Augment_ComponentQuestGlove_PAIRS,"Gain a Sparring Glove. After your team's attacks critically strike 385 times, gain 2 more. Critical strikes: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Critical Success,,TFT_Augment_ComponentQuestGlove,"Gain a Sparring Glove. After your team's attacks critically strike 320 times, gain 2 more. Critical strikes: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Crossfire,,TFT_Augment_Crossfire1,"Enemies take 5% damage as bonus true damage, increased by 0% up to 25% every time they take damage."
0,1-Silver,Delayed Shipment,,TFT_Augment_DelayedShipment,"After 10 player combats, choose one of the following Artifacts: Manazane, Sniper's Focus, Hullcrusher. Rounds remaining: [TFTUnitProperty.item:TFT_Augment_DelayedShipment_Counter]"
0,1-Silver,Delayed Start,,TFT_Augment_HeadStart,Sell your board and bench. Gain 4 random 2-star [tier]-cost champions. Disable your Shop for the next [roundstoskip] rounds.
0,1-Silver,Diversified Portfolio,,TFT_Augment_DiversifiedPortfolio1,"Gain 1 gold. Each round, gain 1 gold for every 3 non-unique traits active. Gold Bonus: [TFTUnitProperty.item:TFT_Augment_DiversifiedPortfolio_GoldReturned]"
0,1-Silver,Diversified Portfolio+,,TFT_Augment_DiversifiedPortfolio2,"Gain 4 gold. Each round, gain 1 gold for every 3 non-unique traits active. Gold Bonus: [TFTUnitProperty.item:TFT_Augment_DiversifiedPortfolio_GoldReturned]"
0,1-Silver,Dummify,,TFT_Augment_Dummify,Lose all champions on your board and bench. Gain a Training Dummy with 60% of their combined Health. The Training Dummy gains 1000 Health per stage. Gain a non-Tank 2-star 2-cost champion.
0,1-Silver,Efficient Shopper,,TFT_Augment_EfficientShopper,"For the next 4 carousels, gain a second copy of the champion taken. Gain 4 gold now."
0,1-Silver,Efficient Shopper II,,TFT_Augment_EfficientShopper2,"For the next 3 carousels, gain a second copy of the champion taken and its item. Gain 2 gold now."
0,1-Silver,Expedition,,TFT_Augment_Expedition,"At the start of every round, lose the champion in the rightmost bench slot. After losing 33 gold of champions in this way, gain a powerful reward. Gain a 3-cost champion now. [TFTUnitProperty.item:TFT_Augment_Expedition_Tooltip]"
