name,clan_or_source,rarity,effect
A Forgotten Name,Stygian Guard,Common,"When you play your third spell of the turn, all cards gain +1 [magicpower] for the rest of this battle."
Abandoned Antumbra,Umbra,Uncommon,"At start of turn, add a common or uncommon [snack] unit to hand."
Abandoned Stave,General,Rare,+1[ember] per turn for every 2 [blight] cards in your deck.
Advanced Prototype,General,Uncommon,"Steward units get +5[attack], +5[health], [damageshield] 2, and [multistrike] 1."
Ashes of the Fallen,Hellhorned,Common,[summon] abilities trigger an additional time.
Base Charge,Wurmkin [Hellforged DLC],Common,"At the start of battle, add 2[corrupt] to each floor."
Blank Pages,General [Hellforged DLC],Rare,"At start of turn, if you do not have a Champion in your hand, add a random one to your hand."
Blood for Blood,General,Uncommon,"When your Pyre kills a unit, restore 5 Pyre health."
Bog Slime,Wurmkin [Hellforged DLC],Common,"When a spell with [consume] is played, gain 1[corrupt]."
Boon of the Blacksmith,General,Common,Your Pyre gets +15[attack].
Broken Wheel,General [Hellforged DLC],Common,"When a non-Champion unit dies, it is Purged."
Capricious Reflection,General [Hellforged DLC],Uncommon,Cards in reward packs and unit banners come with a random upgrade.
Carving Corusca,Wurmkin [Hellforged DLC],Common,"When a card with Extract is played, gain 1[ember] and 1[corrupt]."
Chain of Gems,Umbra,Common,Apply [damageshield] 2 to the first friendly unit summoned each turn.
Channelheart,Awoken,Common,Sting spells get +20 [magicpower].
Cheater's Hand,General [Hellforged DLC],Uncommon,"Draw +1 each turn, then return 1 card to the top of your draw pile."
Cleansing Water,General,Uncommon,50% chance to remove all [buff] effects on an enemy unit when it enters your train.
Collection of Tails,Hellhorned,Common,[rage] does not decay on friendly units.
Combustible Wax,Melting Remnant,Common,Grant +3 stacks of [burnout] each time it is applied.
Commemorative Spike,Umbra,Common,"At the start of battle, summon a Morsel Miner on each floor."
Concussive Coals,General,Uncommon,50% chance to apply Dazed when an enemy unit enters your train.
Conscription Notice,General [Hellforged DLC],Uncommon,"When you first summon your Champion, gain a random unit card with +10[attack], +10[health], -1[ember], and -1[size]."
Consumed Crown,Hellhorned,Common,Friendly units gain +2[attack] on [slay].
Corrupted Cloud,General [Hellforged DLC],Common,"At end of turn, deal 4 damage to friendly units."
Cracked Helmet,General [Hellforged DLC],Common,Damage spells get [piercing].
Cursed Vines,Awoken,Common,"At start of turn, add a Vine Grasp spell with Purge to your hand."
Cuttlebeard,Stygian Guard,Common,Grant +2 stacks of [frostbite] each time it is applied. [frostbite] does not decay.
Dante's Cloak,General,Rare,+2 [magicpower] for every [blight] card in your deck.
Decayed Decoy,Wurmkin [Hellforged DLC],Common,Grant +1 stack of [corruptpoison] each time it is applied.
Divine A Forgotten Name,Stygian Guard,Common,"When you play your third spell of the turn, all cards gain +2 [magicpower] for the rest of this battle. Remove this artifact after 1 battle."
Divine Advanced Prototype,General,Uncommon,"Steward units get +10[attack], +10[health], [damageshield] 4, and [multistrike] 2. Remove this artifact after 1 battle."
Divine Chain of Gems,Umbra,Common,Apply [damageshield] 4 to the first friendly unit summoned each turn. Remove this artifact after 1 battle.
Divine Cleansing Water,General,Uncommon,75% chance to remove all [buff] effects on an enemy unit when it enters your train. Remove this artifact after 1 battle.
